prefix	content	marker	group	section	subsection	subsubsection	title	section_tag	image_url	context_mask	chunk_summary	group_summary	section_summary
	National Oceanic and Atmospheric Administration (NOAA) Weather Channel Selection	-1	563	3	16	0		23		0	National Oceanic and Atmospheric Administration (NOAA) Weather Channel Selection		
	NOTE	-1	563	3	16	0		23		1	NOTE		
	The US National Oceanic and Atmospheric Administration (NOAA) broadcasts continuous weather reports and severe weather alerts. NOAA weather channels are only available in the US and Canada. The radio has 10 weather channels.	-1	564	3	16	0		23		0	The US National Oceanic and Atmospheric Administration (NOAA) broadcasts continuous weather reports and severe weather alerts. NOAA weather channels are only available in the US and Canada. The radio has 10 weather channels.	The US National Oceanic and Atmospheric Administration (NOAA) broadcasts continuous weather reports and severe weather alerts. NOAA weather channels are only available in the US and Canada. The radio has 10 weather channels.	
1.	Push the “CH/WX” softkey (Figure 6, Item 4) to select the weather channel. The “WX” icon (Figure 6, Item 3) will appear on the screen.	2	565	3	16	0		23		0	Push the “CH/WX” softkey (Figure 6, Item 4) to select the weather channel. The “WX” icon (Figure 6, Item 3) will appear on the screen.	Push the “CH/WX” softkey (Figure 6, Item 4) to select the weather channel. The “WX” icon (Figure 6, Item 3) will appear on the screen. Push the “UP” (Figure 6, Item 1) or DOWN” keys (Figure 6, Item 2) to select the desired NOAA weather channel. Figure 6. Weather Channel Selection Screen. To exit from any NOAA weather channel, press the “CH/WX” key. The radio will return to the last selected operating channel.	
2.	Push the “UP” (Figure 6, Item 1) or DOWN” keys (Figure 6, Item 2) to select the desired NOAA weather channel. Figure 6. Weather Channel Selection Screen.	2	565	3	16	0		23	data/dod/rib_TM/images/img0164.jpg	0	Push the “UP” (Figure 6, Item 1) or DOWN” keys (Figure 6, Item 2) to select the desired NOAA weather channel. Figure 6. Weather Channel Selection Screen.		
3.	To exit from any NOAA weather channel, press the “CH/WX” key. The radio will return to the last selected operating channel.	2	565	3	16	0		23		0	To exit from any NOAA weather channel, press the “CH/WX” key. The radio will return to the last selected operating channel.		
	Emergency Channel 16	-1	566	3	16	0		23		1	Emergency Channel 16		
	Channel 16 is the distress and safety channel used for emergency communications. Channel 16 should be routinely monitored during operation.	-1	567	3	16	0		23		0	Channel 16 is the distress and safety channel used for emergency communications. Channel 16 should be routinely monitored during operation.	Channel 16 is the distress and safety channel used for emergency communications. Channel 16 should be routinely monitored during operation.	
1.	Push the “16/C” buttton (Figure 7, Item 1) to select channel 16.	2	568	3	16	0		23		0	Push the “16/C” buttton (Figure 7, Item 1) to select channel 16.	Push the “16/C” buttton (Figure 7, Item 1) to select channel 16. Perform emergency broadcast instructions. Push the “CH/WX” softkey (Figure 7, Item 2) to return to the previously selected channel.	
2.	Perform emergency broadcast instructions.	2	568	3	16	0		23		0	Perform emergency broadcast instructions.		
3.	Push the “CH/WX” softkey (Figure 7, Item 2) to return to the previously selected channel.	2	568	3	16	0		23		0	Push the “CH/WX” softkey (Figure 7, Item 2) to return to the previously selected channel.		
	Figure 7. Emergency Channel 16 Screen.	-1	569	3	16	0		23	data/dod/rib_TM/images/img0165.jpg	1	Figure 7. Emergency Channel 16 Screen.		
	Transmitting a Distress Call	-1	569	3	16	0		23		1	Transmitting a Distress Call		
	A distress call should only be made when the boat or personnel are in distress and require immediate assistance. Never make a distress call if the boat or personnel are not in an emergency.	-1	570	3	16	0		23		0	A distress call should only be made when the boat or personnel are in distress and require immediate assistance. Never make a distress call if the boat or personnel are not in an emergency.	A distress call should only be made when the boat or personnel are in distress and require immediate assistance. Never make a distress call if the boat or personnel are not in an emergency.	
	NOTE	-1	571	3	16	0		23		1	NOTE		
•	Once the distress button is pressed channel 70 is automatically selected and the distress call is transmitted.	1	572	3	16	0		23		0	Once the distress button is pressed channel 70 is automatically selected and the distress call is transmitted.	Once the distress button is pressed channel 70 is automatically selected and the distress call is transmitted. The distress call is automatically transmitted every 3.5 to 4.5 minutes until an acknowledgment is received. Lift cover (Figure 8, Item 1) and hold down “DISTRESS” button (Figure 8, Item 2) for three seconds to transmit a distress call.	
•	The distress call is automatically transmitted every 3.5 to 4.5 minutes until an acknowledgment is received.	1	572	3	16	0		23		0	The distress call is automatically transmitted every 3.5 to 4.5 minutes until an acknowledgment is received.		
	Lift cover (Figure 8, Item 1) and hold down “DISTRESS” button (Figure 8, Item 2) for three seconds to transmit a distress call.	-1	572	3	16	0		23		0	Lift cover (Figure 8, Item 1) and hold down “DISTRESS” button (Figure 8, Item 2) for three seconds to transmit a distress call.		
	Figure 8. Distress Button.	-1	573	3	16	0		23	data/dod/rib_TM/images/img0166.jpg	1	Figure 8. Distress Button.		
	Cancelling a Distress Call	-1	573	3	16	0		23		1	Cancelling a Distress Call		
1.	If a distress call has been transmitted and not acknowledged, push the “CANCEL” button (Figure 9, Item 1) to cancel the distress call. Figure 9. Distress Call Cancel Button. Cancelling a Distress Call - Continued	2	574	3	16	0		23	data/dod/rib_TM/images/img0167.jpg	0	If a distress call has been transmitted and not acknowledged, push the “CANCEL” button (Figure 9, Item 1) to cancel the distress call. Figure 9. Distress Call Cancel Button. Cancelling a Distress Call - Continued	If a distress call has been transmitted and not acknowledged, push the “CANCEL” button (Figure 9, Item 1) to cancel the distress call. Figure 9. Distress Call Cancel Button. Cancelling a Distress Call - Continued Push the “CONTINUE” button (Figure 10, Item 1). Figure 10. Distress Call Continue Button. NOTE After selecting the “FINISH” button channel 16 is automatically selected. Push the “FINISH” button (Figure 11, Item 1).	
2.	Push the “CONTINUE” button (Figure 10, Item 1). Figure 10. Distress Call Continue Button. NOTE After selecting the “FINISH” button channel 16 is automatically selected.	2	574	3	16	0		23	data/dod/rib_TM/images/img0168.jpg	0	Push the “CONTINUE” button (Figure 10, Item 1). Figure 10. Distress Call Continue Button. NOTE After selecting the “FINISH” button channel 16 is automatically selected.		
3.	Push the “FINISH” button (Figure 11, Item 1).	2	574	3	16	0		23		0	Push the “FINISH” button (Figure 11, Item 1).		
	Figure 11. Distress Call Finish Button.	-1	575	3	16	0		23	data/dod/rib_TM/images/img0169.jpg	1	Figure 11. Distress Call Finish Button.		
	END OF WORK PACKAGE	-1	575	3	16	0		23		1	END OF WORK PACKAGE		
	0019-9/blank	-1	575	3	16	0		23		1	0019-9/blank		
	OPERATOR INSTRUCTIONS	-1	576	3	16	0		23		1	OPERATOR INSTRUCTIONS		
	OPERATING UNDER USUAL CONDITIONS VHF RADIO	-1	577	3	17	0	OPERATING UNDER USUAL CONDITIONS VHF RADIO	24		0	OPERATING UNDER USUAL CONDITIONS VHF RADIO		Once the “PWR” knob (Figure 1, Item 3) turns on, the radio will automatically go into receive mode. Channel 16 is used for emergency communications - channel 70 is selected and the distress call transmitted every 3 to 4 minutes until an acknowledgment is received if it is not acknowledged a distress call has been transmitted & not acknowledged. Figure 6. Distress call transmissions: how to make 'no-show' calls? Click here to see how to make a no-show call from your boat
	INITIAL SETUP:	-1	578	3	17	0		24		1	INITIAL SETUP:		
	Personnel Required Diver 12D	-1	579	3	17	0		24		1	Personnel Required Diver 12D	Equipment Condition House Battery Switch Powered ON, VHF antenna raised (WP 0005)	
	Equipment Condition House Battery Switch Powered ON, VHF antenna raised (WP 0005)	-1	579	3	17	0		24		0	Equipment Condition House Battery Switch Powered ON, VHF antenna raised (WP 0005)		
	Powering On The VHF Radio	-1	580	3	17	0		24		1	Powering On The VHF Radio		
1.	Press and hold the “PWR” knob (Figure 1, Item 3) until the radio turns on.	2	581	3	17	0		24		0	Press and hold the “PWR” knob (Figure 1, Item 3) until the radio turns on.	Press and hold the “PWR” knob (Figure 1, Item 3) until the radio turns on. Turn the “SQL” dial (Figure 1, Item 4) fully counterclockwise. Turn the “VOL” dial (Figure 1, Item 5) up until noise or audio from the speaker is at desired level. Turn the “SQL” dial clockwise until random noise disappears.	
2.	Turn the “SQL” dial (Figure 1, Item 4) fully counterclockwise.	2	581	3	17	0		24		0	Turn the “SQL” dial (Figure 1, Item 4) fully counterclockwise.		
3.	Turn the “VOL” dial (Figure 1, Item 5) up until noise or audio from the speaker is at desired level.	2	581	3	17	0		24		0	Turn the “VOL” dial (Figure 1, Item 5) up until noise or audio from the speaker is at desired level.		
4.	Turn the “SQL” dial clockwise until random noise disappears.	2	581	3	17	0		24		0	Turn the “SQL” dial clockwise until random noise disappears.		
5.		2	581	3	17	0		24		1			
	Push the “UP” (Figure 1, Item 1) or “DOWN” (Figure 1, Item 2) channel keys to select the desired channel.	-1	582	3	17	0		24		0	Push the “UP” (Figure 1, Item 1) or “DOWN” (Figure 1, Item 2) channel keys to select the desired channel.	Push the “UP” (Figure 1, Item 1) or “DOWN” (Figure 1, Item 2) channel keys to select the desired channel.	
	Figure 1. VHF Radio	-1	582	3	17	0		24	data/dod/rib_TM/images/img0170.jpg	1	Figure 1. VHF Radio		
	VHF Radio Transmission	-1	582	3	17	0		24		1	VHF Radio Transmission		
	NOTE	-1	582	3	17	0		24		1	NOTE		
	When the “Push-To-Talk” button is held, message transmit time is five minutes. After five minutes the radio will automatically go into receive mode. To transmit again the “Push-To- Talk” button must first be released then pressed again.	-1	583	3	17	0		24		0	When the “Push-To-Talk” button is held, message transmit time is five minutes. After five minutes the radio will automatically go into receive mode. To transmit again the “Push-To- Talk” button must first be released then pressed again.	When the “Push-To-Talk” button is held, message transmit time is five minutes. After five minutes the radio will automatically go into receive mode. To transmit again the “Push-To- Talk” button must first be released then pressed again.	
1.	Press the “Push-To-Talk” button (Figure 2, Item 1) on the microphone. The “TX” indicator will appear on the screen. Figure 2. Mircophone PTT Button.	2	584	3	17	0		24	data/dod/rib_TM/images/img0171.jpg	0	Press the “Push-To-Talk” button (Figure 2, Item 1) on the microphone. The “TX” indicator will appear on the screen. Figure 2. Mircophone PTT Button.	Press the “Push-To-Talk” button (Figure 2, Item 1) on the microphone. The “TX” indicator will appear on the screen. Figure 2. Mircophone PTT Button. Speak slowly and clearly into the microphone. When the transmission is finished, release the “Push-To-Talk” button.	
